Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,57.333332,59.116665,57.333332,58.933334,31.426670,5378064
2011-01-04,59.166664,59.166664,57.683334,58.133331,31.000065,3653124
2011-01-05,58.333332,59.241665,57.916664,58.250000,31.062271,5209068
2011-01-06,58.966667,58.966667,56.758331,56.924999,30.355711,6039942
2011-01-07,56.974998,57.966667,56.375000,57.291664,30.551228,3256176
2011-01-10,57.500000,57.608334,55.508331,55.866665,29.791338,4270812
2011-01-11,55.866665,56.500000,54.208332,54.716667,29.178093,4830630
2011-01-12,50.208332,55.816666,50.208332,53.258331,28.400429,8077908
2011-01-13,53.166664,53.683334,51.666664,51.724998,27.582769,6249600
2011-01-14,51.641666,52.458332,50.875000,51.633331,27.533882,6955224
2011-01-17,52.116665,53.608334,52.099998,52.375000,27.929379,5647182
2011-01-18,52.083332,52.983334,51.533333,52.333332,27.907158,4862970
2011-01-19,52.474998,52.900002,51.666664,52.275002,27.876062,2972058
2011-01-20,51.333332,52.650002,51.333332,52.158333,27.813841,10406106
2011-01-21,51.683334,54.983334,51.525002,54.633331,29.133657,9977274
2011-01-24,54.633331,55.766666,54.208332,54.974998,29.315849,7372812
2011-01-25,55.516666,56.825001,55.216667,56.133331,29.933542,9502074
2011-01-27,56.700001,57.474998,54.191666,54.783333,29.213642,6863340
2011-01-28,54.500000,56.166664,53.716667,55.708332,29.706909,5218674
2011-01-31,54.174999,56.633331,53.091667,56.158333,29.946877,4498842
2011-02-01,56.000000,56.000000,53.599998,54.133331,28.867029,2451594
2011-02-02,54.549999,55.616665,53.358334,54.308334,28.960346,5357550
2011-02-03,53.516666,54.666664,53.166664,53.416664,28.484854,3594978
2011-02-04,53.500000,54.775002,52.608334,53.166664,28.351547,2229570
2011-02-07,53.875000,55.500000,53.266666,53.733334,28.653734,4477908
2011-02-08,54.325001,55.033333,53.416664,53.650002,28.609289,2998542
2011-02-09,53.650002,54.216667,51.666664,52.616665,28.058258,3628848
2011-02-10,52.299999,53.275002,51.183334,51.924999,27.689417,5147820
2011-02-11,52.458332,52.900002,51.233334,52.408333,27.947161,4863150
2011-02-14,53.083332,55.000000,52.758331,54.691666,29.164762,3244536
2011-02-15,55.016666,55.825001,54.333332,55.474998,29.582485,3104544
2011-02-16,53.333332,56.250000,53.333332,55.258331,29.466936,1825026
2011-02-17,55.000000,55.258331,54.000000,54.775002,29.209204,2735994
2011-02-18,54.991665,55.500000,53.525002,53.833332,28.707050,2753778
2011-02-21,53.349998,54.166664,52.349998,52.933334,28.227123,3755208
2011-02-22,52.333332,52.333332,50.558334,50.841667,27.111717,5922222
2011-02-23,50.750000,50.958332,50.000000,50.583332,26.973957,3132804
2011-02-24,50.466667,50.466667,48.391666,49.083332,26.174076,8513586
2011-02-25,49.958332,50.500000,48.349998,48.841667,26.045210,3985308
2011-02-28,49.166664,50.666664,48.933334,49.825001,26.569584,3888660
2011-03-01,50.166664,51.941666,50.166664,51.816666,27.631649,4424826
2011-03-03,50.091667,52.616665,50.091667,52.058334,27.760519,5053806
2011-03-04,53.083332,53.083332,51.674999,52.433334,27.960487,6428238
2011-03-07,50.016666,51.666664,50.016666,51.174999,27.289465,3402000
2011-03-08,50.833332,52.000000,50.833332,51.650002,27.542770,2286990
2011-03-09,52.500000,52.500000,50.416664,51.299999,27.356138,4389516
2011-03-10,50.833332,51.000000,50.433334,50.741665,27.058392,1834548
2011-03-11,50.883331,51.166664,50.166664,50.891666,27.138382,5928900
2011-03-14,51.333332,51.833332,51.166664,51.641666,27.538330,4212294
2011-03-15,51.158333,51.783333,50.250000,50.474998,26.916191,5828766
2011-03-16,51.525002,51.916664,51.083332,51.783333,27.613869,5472738
2011-03-17,51.650002,51.650002,50.833332,51.033333,27.213934,3461262
2011-03-18,50.825001,50.825001,49.708332,50.583332,26.973957,4342158
2011-03-21,50.016666,50.466667,49.716667,50.141666,26.738447,3213978
2011-03-22,50.166664,50.333332,49.750000,49.825001,26.569584,1681788
2011-03-23,49.166664,50.558334,49.166664,50.358334,26.853981,2209938
2011-03-24,49.841667,50.966667,49.841667,50.841667,27.111717,1963548
2011-03-25,50.916664,52.000000,50.833332,51.841667,27.644981,2595366
2011-03-28,52.000000,52.750000,51.583332,52.599998,28.049366,2196090
2011-03-29,52.500000,54.500000,52.333332,54.008331,28.800371,4374552
2011-03-30,54.500000,57.000000,54.166664,56.549999,30.155731,5748672
2011-03-31,56.500000,57.000000,55.000000,55.474998,29.582485,4627734
2011-04-01,55.000000,55.750000,54.216667,55.474998,29.582485,1501734
2011-04-04,54.866665,55.383331,54.500000,54.658333,29.146992,2110548
2011-04-05,54.500000,55.408333,53.833332,54.150002,28.875923,2977680
2011-04-06,54.658333,54.849998,53.950001,54.408333,29.013672,2573484
